 # Thu Sep 18 13:57:21 2014
 # MMHT 2014 NNLO PDF grid for central fit.
 # distance(t),tolerance(T) =    0.0000000000000000        0.0000000000000000     
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.46797
 # alphaS(MZ) = 0.11800
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -4.9873E+01  5.0209E-01  5.0230E-01  3.7060E-01  0.0000E+00  0.0000E+00 -5.1333E-07  2.0235E-04 -5.2717E-04  0.0000E+00  0.0000E+00
 -5.1314E+01  3.6243E-01  3.6266E-01  2.3150E-01  0.0000E+00  0.0000E+00  2.4297E-05  2.5693E-04 -5.2103E-04  0.0000E+00  0.0000E+00
 -5.2256E+01  2.7508E-01  2.7533E-01  1.4455E-01  0.0000E+00  0.0000E+00  4.2485E-05  2.9781E-04 -5.1705E-04  0.0000E+00  0.0000E+00
 -5.3106E+01  1.8459E-01  1.8487E-01  5.4569E-02  0.0000E+00  0.0000E+00  6.6488E-05  3.5293E-04 -5.1250E-04  0.0000E+00  0.0000E+00
 -5.2528E+01  1.8559E-01  1.8587E-01  5.5597E-02 -3.9136E-01  0.0000E+00  6.7175E-05  3.5501E-04 -5.1292E-04  2.6397E-11  0.0000E+00
 -5.2587E+01  1.4683E-01  1.4714E-01  1.7229E-02 -4.3938E-01  0.0000E+00  8.7129E-05  4.0116E-04 -5.0940E-04  1.0379E-05  0.0000E+00
 -5.1930E+01  1.3670E-01  1.3703E-01  7.4565E-03 -4.5512E-01  0.0000E+00  1.0604E-04  4.4563E-04 -5.0656E-04  1.9248E-05  0.0000E+00
 -5.0747E+01  1.5130E-01  1.5165E-01  2.2359E-02 -4.4507E-01  0.0000E+00  1.2204E-04  4.8379E-04 -5.0450E-04  2.6390E-05  0.0000E+00
 -4.8969E+01  1.8739E-01  1.8776E-01  5.8722E-02 -4.1312E-01  0.0000E+00  1.3715E-04  5.2025E-04 -5.0282E-04  3.2836E-05  0.0000E+00
 -4.6284E+01  2.5132E-01  2.5170E-01  1.2293E-01 -3.5337E-01  0.0000E+00  1.5296E-04  5.5886E-04 -5.0133E-04  3.9280E-05  0.0000E+00
 -4.3201E+01  3.2965E-01  3.3006E-01  2.0150E-01 -2.7850E-01  0.0000E+00  1.6655E-04  5.9237E-04 -5.0027E-04  4.4577E-05  0.0000E+00
 -3.9465E+01  4.2755E-01  4.2798E-01  2.9963E-01 -1.8379E-01  0.0000E+00  1.7955E-04  6.2471E-04 -4.9943E-04  4.9435E-05  0.0000E+00
 -3.5944E+01  5.2109E-01  5.2153E-01  3.9334E-01 -9.2685E-02  0.0000E+00  1.8978E-04  6.5034E-04 -4.9889E-04  5.3123E-05  0.0000E+00
 -2.0509E+01  9.3555E-01  9.3603E-01  8.0834E-01  3.1432E-01  0.0000E+00  2.2290E-04  7.3436E-04 -4.9778E-04  6.4285E-05  0.0000E+00
 -1.9268E+01  9.3633E-01  9.3682E-01  8.0913E-01  3.1495E-01 -4.4903E-01  2.2335E-04  7.3559E-04 -4.9790E-04  6.4331E-05  6.2117E-13
 -1.5408E+01  1.0515E+00  1.0520E+00  9.2436E-01  4.2864E-01 -3.2635E-01  2.3031E-04  7.5333E-04 -4.9774E-04  6.6539E-05  1.8574E-06
 -1.9458E+00  1.4402E+00  1.4407E+00  1.3134E+00  8.1326E-01  4.3812E-02  2.5107E-04  8.0646E-04 -4.9748E-04  7.2814E-05  6.3980E-06
  1.5095E+01  1.9307E+00  1.9313E+00  1.8043E+00  1.2997E+00  5.1758E-01  2.7273E-04  8.6226E-04 -4.9750E-04  7.8964E-05  1.0796E-05
  3.3503E+01  2.4587E+00  2.4593E+00  2.3325E+00  1.8243E+00  1.0313E+00  2.9248E-04  9.1343E-04 -4.9774E-04  8.4241E-05  1.4504E-05
  5.5136E+01  3.0776E+00  3.0782E+00  2.9517E+00  2.4399E+00  1.6366E+00  3.1253E-04  9.6560E-04 -4.9818E-04  8.9300E-05  1.8000E-05
  7.5566E+01  3.6612E+00  3.6619E+00  3.5356E+00  3.0209E+00  2.2095E+00  3.2927E-04  1.0093E-03 -4.9868E-04  9.3312E-05  2.0730E-05
  1.0359E+02  4.4615E+00  4.4621E+00  4.3361E+00  3.8181E+00  2.9974E+00  3.4975E-04  1.0629E-03 -4.9944E-04  9.7966E-05  2.3845E-05
  1.3146E+02  5.2574E+00  5.2581E+00  5.1322E+00  4.6115E+00  3.7830E+00  3.6803E-04  1.1109E-03 -5.0024E-04  1.0191E-04  2.6442E-05
  1.5966E+02  6.0640E+00  6.0647E+00  5.9390E+00  5.4159E+00  4.5805E+00  3.8495E-04  1.1554E-03 -5.0107E-04  1.0539E-04  2.8701E-05
  1.9934E+02  7.2014E+00  7.2021E+00  7.0767E+00  6.5505E+00  5.7070E+00  4.0665E-04  1.2124E-03 -5.0224E-04  1.0963E-04  3.1411E-05
  2.4071E+02  8.3912E+00  8.3920E+00  8.2668E+00  7.7380E+00  6.8872E+00  4.2732E-04  1.2668E-03 -5.0345E-04  1.1347E-04  3.3815E-05
  2.8323E+02  9.6187E+00  9.6196E+00  9.4945E+00  8.9634E+00  8.1061E+00  4.4693E-04  1.3184E-03 -5.0467E-04  1.1692E-04  3.5951E-05
  3.2946E+02  1.0960E+01  1.0960E+01  1.0836E+01  1.0302E+01  9.4388E+00  4.6679E-04  1.3706E-03 -5.0598E-04  1.2027E-04  3.7982E-05
  3.7840E+02  1.2386E+01  1.2387E+01  1.2262E+01  1.1727E+01  1.0858E+01  4.8648E-04  1.4224E-03 -5.0732E-04  1.2343E-04  3.9878E-05
  4.2834E+02  1.3850E+01  1.3851E+01  1.3726E+01  1.3189E+01  1.2314E+01  5.0538E-04  1.4720E-03 -5.0866E-04  1.2634E-04  4.1592E-05
  4.7848E+02  1.5327E+01  1.5328E+01  1.5203E+01  1.4664E+01  1.3785E+01  5.2342E-04  1.5193E-03 -5.0997E-04  1.2901E-04  4.3145E-05
  5.3222E+02  1.6919E+01  1.6920E+01  1.6796E+01  1.6255E+01  1.5372E+01  5.4180E-04  1.5675E-03 -5.1133E-04  1.3162E-04  4.4645E-05
  5.8819E+02  1.8588E+01  1.8589E+01  1.8464E+01  1.7922E+01  1.7035E+01  5.6012E-04  1.6154E-03 -5.1270E-04  1.3412E-04  4.6067E-05
  6.4439E+02  2.0272E+01  2.0273E+01  2.0149E+01  1.9606E+01  1.8714E+01  5.7776E-04  1.6614E-03 -5.1405E-04  1.3645E-04  4.7373E-05
  7.0032E+02  2.1959E+01  2.1960E+01  2.1837E+01  2.1291E+01  2.0397E+01  5.9468E-04  1.7055E-03 -5.1535E-04  1.3861E-04  4.8569E-05
  7.5949E+02  2.3754E+01  2.3755E+01  2.3632E+01  2.3085E+01  2.2187E+01  6.1196E-04  1.7505E-03 -5.1670E-04  1.4075E-04  4.9740E-05
  8.2065E+02  2.5621E+01  2.5622E+01  2.5499E+01  2.4951E+01  2.4050E+01  6.2924E-04  1.7953E-03 -5.1805E-04  1.4281E-04  5.0862E-05
  8.8160E+02  2.7493E+01  2.7494E+01  2.7371E+01  2.6822E+01  2.5918E+01  6.4595E-04  1.8386E-03 -5.1936E-04  1.4475E-04  5.1902E-05
  9.4182E+02  2.9353E+01  2.9354E+01  2.9231E+01  2.8681E+01  2.7774E+01  6.6200E-04  1.8802E-03 -5.2063E-04  1.4656E-04  5.2865E-05
  1.0051E+03  3.1318E+01  3.1319E+01  3.1196E+01  3.0645E+01  2.9736E+01  6.7843E-04  1.9226E-03 -5.2192E-04  1.4836E-04  5.3815E-05
  1.0700E+03  3.3347E+01  3.3348E+01  3.3225E+01  3.2673E+01  3.1761E+01  6.9489E-04  1.9650E-03 -5.2323E-04  1.5012E-04  5.4733E-05
  1.1344E+03  3.5371E+01  3.5372E+01  3.5249E+01  3.4697E+01  3.3783E+01  7.1083E-04  2.0060E-03 -5.2449E-04  1.5177E-04  5.5591E-05
  1.1977E+03  3.7373E+01  3.7374E+01  3.7251E+01  3.6698E+01  3.5782E+01  7.2618E-04  2.0454E-03 -5.2570E-04  1.5333E-04  5.6391E-05
  1.2638E+03  3.9475E+01  3.9476E+01  3.9353E+01  3.8799E+01  3.7881E+01  7.4190E-04  2.0857E-03 -5.2695E-04  1.5488E-04  5.7185E-05
  1.3317E+03  4.1645E+01  4.1646E+01  4.1523E+01  4.0968E+01  4.0048E+01  7.5771E-04  2.1261E-03 -5.2820E-04  1.5641E-04  5.7957E-05
  1.3984E+03  4.3790E+01  4.3792E+01  4.3669E+01  4.3113E+01  4.2191E+01  7.7301E-04  2.1651E-03 -5.2940E-04  1.5785E-04  5.8684E-05
  1.4641E+03  4.5913E+01  4.5914E+01  4.5792E+01  4.5235E+01  4.4312E+01  7.8778E-04  2.2028E-03 -5.3056E-04  1.5921E-04  5.9364E-05
  1.5323E+03  4.8132E+01  4.8133E+01  4.8010E+01  4.7453E+01  4.6528E+01  8.0293E-04  2.2413E-03 -5.3175E-04  1.6058E-04  6.0044E-05
 -2.9238E+01  4.8660E-01  4.8695E-01  3.5925E-01  0.0000E+00  0.0000E+00  4.8524E-06  3.5231E-04 -6.1508E-04  0.0000E+00  0.0000E+00
 -3.0146E+01  4.3871E-01  4.3910E-01  3.1193E-01  0.0000E+00  0.0000E+00  4.4048E-05  4.3971E-04 -6.0372E-04  0.0000E+00  0.0000E+00
 -3.0645E+01  4.1639E-01  4.1682E-01  2.9002E-01  0.0000E+00  0.0000E+00  7.2757E-05  5.0500E-04 -5.9633E-04  0.0000E+00  0.0000E+00
 -3.0866E+01  4.0822E-01  4.0869E-01  2.8236E-01  0.0000E+00  0.0000E+00  1.1067E-04  5.9289E-04 -5.8778E-04  0.0000E+00  0.0000E+00
 -3.0344E+01  4.0871E-01  4.0918E-01  2.8288E-01 -3.0217E-01  0.0000E+00  1.1179E-04  5.9630E-04 -5.8825E-04  3.6808E-11  0.0000E+00
 -3.0002E+01  4.3245E-01  4.3296E-01  3.0701E-01 -2.7997E-01  0.0000E+00  1.4324E-04  6.6950E-04 -5.8176E-04  1.4420E-05  0.0000E+00
 -2.9015E+01  4.7654E-01  4.7709E-01  3.5147E-01 -2.3731E-01  0.0000E+00  1.7308E-04  7.3995E-04 -5.7642E-04  2.6626E-05  0.0000E+00
 -2.7598E+01  5.3303E-01  5.3361E-01  4.0826E-01 -1.8195E-01  0.0000E+00  1.9836E-04  8.0034E-04 -5.7245E-04  3.6378E-05  0.0000E+00
 -2.5665E+01  6.0474E-01  6.0535E-01  4.8026E-01 -1.1123E-01  0.0000E+00  2.2228E-04  8.5802E-04 -5.6913E-04  4.5119E-05  0.0000E+00
 -2.2913E+01  7.0127E-01  7.0191E-01  5.7707E-01 -1.5674E-02  0.0000E+00  2.4736E-04  9.1907E-04 -5.6609E-04  5.3797E-05  0.0000E+00
 -1.9878E+01  8.0331E-01  8.0398E-01  6.7935E-01  8.5581E-02  0.0000E+00  2.6895E-04  9.7202E-04 -5.6382E-04  6.0886E-05  0.0000E+00
 -1.6305E+01  9.1956E-01  9.2027E-01  7.9583E-01  2.0114E-01  0.0000E+00  2.8965E-04  1.0231E-03 -5.6193E-04  6.7349E-05  0.0000E+00
 -1.3006E+01  1.0244E+00  1.0251E+00  9.0082E-01  3.0543E-01  0.0000E+00  3.0596E-04  1.0636E-03 -5.6062E-04  7.2233E-05  0.0000E+00
  9.9791E-01  1.4532E+00  1.4540E+00  1.3302E+00  7.3272E-01  0.0000E+00  3.5893E-04  1.1961E-03 -5.5741E-04  8.6877E-05  0.0000E+00
  2.0455E+00  1.4534E+00  1.4542E+00  1.3304E+00  7.3294E-01 -3.5297E-01  3.5966E-04  1.1981E-03 -5.5754E-04  8.6933E-05  8.3733E-13
  5.4536E+00  1.5662E+00  1.5670E+00  1.4433E+00  8.4541E-01 -2.2669E-01  3.7080E-04  1.2260E-03 -5.5699E-04  8.9807E-05  2.5027E-06
  1.7128E+01  1.9368E+00  1.9377E+00  1.8143E+00  1.2153E+00  1.4048E-01  4.0407E-04  1.3096E-03 -5.5571E-04  9.7928E-05  8.5912E-06
  3.1666E+01  2.3894E+00  2.3903E+00  2.2671E+00  1.6672E+00  5.9136E-01  4.3885E-04  1.3973E-03 -5.5482E-04  1.0582E-04  1.4446E-05
  4.7144E+01  2.8641E+00  2.8650E+00  2.7421E+00  2.1414E+00  1.0649E+00  4.7061E-04  1.4776E-03 -5.5437E-04  1.1254E-04  1.9348E-05
  6.5105E+01  3.4092E+00  3.4102E+00  3.2875E+00  2.6860E+00  1.6091E+00  5.0292E-04  1.5595E-03 -5.5421E-04  1.1893E-04  2.3940E-05
  8.1885E+01  3.9150E+00  3.9160E+00  3.7935E+00  3.1915E+00  2.1143E+00  5.2994E-04  1.6280E-03 -5.5430E-04  1.2397E-04  2.7503E-05
  1.0467E+02  4.5985E+00  4.5996E+00  4.4773E+00  3.8747E+00  2.7975E+00  5.6302E-04  1.7120E-03 -5.5463E-04  1.2977E-04  3.1545E-05
  1.2710E+02  5.2696E+00  5.2707E+00  5.1486E+00  4.5455E+00  3.4683E+00  5.9258E-04  1.7870E-03 -5.5513E-04  1.3464E-04  3.4893E-05
  1.4961E+02  5.9424E+00  5.9435E+00  5.8216E+00  5.2181E+00  4.1411E+00  6.1996E-04  1.8564E-03 -5.5572E-04  1.3892E-04  3.7789E-05
  1.8100E+02  6.8809E+00  6.8821E+00  6.7604E+00  6.1565E+00  5.0799E+00  6.5512E-04  1.9456E-03 -5.5667E-04  1.4411E-04  4.1242E-05
  2.1344E+02  7.8524E+00  7.8537E+00  7.7322E+00  7.1279E+00  6.0518E+00  6.8861E-04  2.0304E-03 -5.5773E-04  1.4875E-04  4.4284E-05
  2.4651E+02  8.8455E+00  8.8468E+00  8.7255E+00  8.1209E+00  7.0454E+00  7.2041E-04  2.1107E-03 -5.5886E-04  1.5292E-04  4.6969E-05
  2.8220E+02  9.9213E+00  9.9227E+00  9.8015E+00  9.1967E+00  8.1220E+00  7.5262E-04  2.1920E-03 -5.6011E-04  1.5691E-04  4.9506E-05
  3.1971E+02  1.1057E+01  1.1059E+01  1.0938E+01  1.0333E+01  9.2587E+00  7.8456E-04  2.2725E-03 -5.6145E-04  1.6067E-04  5.1861E-05
  3.5773E+02  1.2214E+01  1.2216E+01  1.2095E+01  1.1490E+01  1.0416E+01  8.1523E-04  2.3495E-03 -5.6280E-04  1.6411E-04  5.3977E-05
  3.9567E+02  1.3375E+01  1.3376E+01  1.3255E+01  1.2650E+01  1.1578E+01  8.4449E-04  2.4229E-03 -5.6415E-04  1.6724E-04  5.5883E-05
  4.3610E+02  1.4618E+01  1.4620E+01  1.4499E+01  1.3894E+01  1.2822E+01  8.7431E-04  2.4975E-03 -5.6558E-04  1.7028E-04  5.7713E-05
  4.7798E+02  1.5914E+01  1.5915E+01  1.5795E+01  1.5189E+01  1.4119E+01  9.0401E-04  2.5716E-03 -5.6705E-04  1.7319E-04  5.9439E-05
  5.1981E+02  1.7215E+01  1.7217E+01  1.7096E+01  1.6491E+01  1.5422E+01  9.3261E-04  2.6429E-03 -5.6849E-04  1.7588E-04  6.1015E-05
  5.6124E+02  1.8512E+01  1.8514E+01  1.8393E+01  1.7788E+01  1.6719E+01  9.6002E-04  2.7110E-03 -5.6991E-04  1.7836E-04  6.2452E-05
  6.0486E+02  1.9885E+01  1.9887E+01  1.9767E+01  1.9162E+01  1.8094E+01  9.8802E-04  2.7803E-03 -5.7138E-04  1.8080E-04  6.3851E-05
  6.4974E+02  2.1307E+01  2.1309E+01  2.1189E+01  2.0584E+01  1.9517E+01  1.0160E-03  2.8495E-03 -5.7287E-04  1.8316E-04  6.5185E-05
  6.9427E+02  2.2727E+01  2.2729E+01  2.2609E+01  2.2004E+01  2.0938E+01  1.0430E-03  2.9162E-03 -5.7432E-04  1.8535E-04  6.6416E-05
  7.3809E+02  2.4132E+01  2.4134E+01  2.4014E+01  2.3409E+01  2.2345E+01  1.0690E-03  2.9801E-03 -5.7573E-04  1.8739E-04  6.7549E-05
