 # Mon Nov 10 18:17:11 2008
 # MSTW 2008 NNLO PDF grid for central fit.
 # distance(t),tolerance(T) =   0.  0.
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -2.6421E+01  7.0469E-01  7.0940E-01  2.7014E-01  0.0000E+00  0.0000E+00  1.2097E-07  4.7148E-03 -5.8977E-04  0.0000E+00  0.0000E+00
 -3.0160E+01  5.6915E-01  5.7398E-01  1.3819E-01  0.0000E+00  0.0000E+00  2.1787E-05  4.8570E-03 -5.8499E-04  0.0000E+00  0.0000E+00
 -3.2898E+01  4.7894E-01  4.8385E-01  5.0546E-02  0.0000E+00  0.0000E+00  3.7669E-05  4.9618E-03 -5.8200E-04  0.0000E+00  0.0000E+00
 -3.6222E+01  3.7714E-01  3.8217E-01 -4.7934E-02  0.0000E+00  0.0000E+00  5.8668E-05  5.1007E-03 -5.7866E-04  0.0000E+00  0.0000E+00
 -3.6223E+01  3.7760E-01  3.8263E-01 -4.7308E-02 -2.2240E-01  0.0000E+00  5.9283E-05  5.1073E-03 -5.7907E-04  2.3502E-11  0.0000E+00
 -3.8254E+01  3.2092E-01  3.2604E-01 -1.0142E-01 -2.8809E-01  0.0000E+00  7.6771E-05  5.2189E-03 -5.7652E-04  9.1824E-06  0.0000E+00
 -3.9578E+01  2.8815E-01  2.9336E-01 -1.3181E-01 -3.2581E-01  0.0000E+00  9.3322E-05  5.3253E-03 -5.7460E-04  1.7001E-05  0.0000E+00
 -4.0082E+01  2.7967E-01  2.8495E-01 -1.3831E-01 -3.3833E-01  0.0000E+00  1.0733E-04  5.4154E-03 -5.7328E-04  2.3290E-05  0.0000E+00
 -3.9899E+01  2.9078E-01  2.9613E-01 -1.2536E-01 -3.3092E-01  0.0000E+00  1.2058E-04  5.5005E-03 -5.7227E-04  2.8961E-05  0.0000E+00
 -3.8874E+01  3.2541E-01  3.3083E-01 -8.8837E-02 -3.0005E-01  0.0000E+00  1.3445E-04  5.5897E-03 -5.7146E-04  3.4624E-05  0.0000E+00
 -3.7207E+01  3.7618E-01  3.8166E-01 -3.6477E-02 -2.5241E-01  0.0000E+00  1.4638E-04  5.6662E-03 -5.7095E-04  3.9275E-05  0.0000E+00
 -3.4808E+01  4.4570E-01  4.5124E-01  3.4548E-02 -1.8579E-01  0.0000E+00  1.5780E-04  5.7392E-03 -5.7062E-04  4.3539E-05  0.0000E+00
 -3.2327E+01  5.1566E-01  5.2124E-01  1.0567E-01 -1.1806E-01  0.0000E+00  1.6680E-04  5.7966E-03 -5.7047E-04  4.6774E-05  0.0000E+00
 -2.0209E+01  8.4701E-01  8.5274E-01  4.4068E-01  2.0645E-01  0.0000E+00  1.9598E-04  5.9815E-03 -5.7051E-04  5.6551E-05  0.0000E+00
 -1.9138E+01  8.4758E-01  8.5332E-01  4.4131E-01  2.0688E-01 -4.2111E-01  1.9639E-04  5.9844E-03 -5.7063E-04  5.6587E-05  5.5878E-13
 -1.6016E+01  9.4337E-01  9.4914E-01  5.3783E-01  3.0135E-01 -3.1853E-01  2.0253E-04  6.0223E-03 -5.7069E-04  5.8520E-05  1.6694E-06
 -4.3872E+00  1.2720E+00  1.2778E+00  8.6857E-01  6.2612E-01 -4.0615E-03  2.2087E-04  6.1352E-03 -5.7108E-04  6.4010E-05  5.7397E-06
  1.0831E+01  1.6960E+00  1.7019E+00  1.2947E+00  1.0463E+00  4.0718E-01  2.4004E-04  6.2518E-03 -5.7172E-04  6.9386E-05  9.6792E-06
  2.7671E+01  2.1606E+00  2.1666E+00  1.7612E+00  1.5077E+00  8.6078E-01  2.5753E-04  6.3569E-03 -5.7249E-04  7.3995E-05  1.2999E-05
  4.7804E+01  2.7130E+00  2.7191E+00  2.3156E+00  2.0570E+00  1.4027E+00  2.7532E-04  6.4625E-03 -5.7343E-04  7.8411E-05  1.6127E-05
  6.7051E+01  3.2398E+00  3.2460E+00  2.8439E+00  2.5813E+00  1.9211E+00  2.9020E-04  6.5497E-03 -5.7432E-04  8.1911E-05  1.8568E-05
  9.3720E+01  3.9694E+00  3.9757E+00  3.5753E+00  3.3080E+00  2.6409E+00  3.0841E-04  6.6552E-03 -5.7552E-04  8.5969E-05  2.1354E-05
  1.2045E+02  4.7015E+00  4.7078E+00  4.3089E+00  4.0377E+00  3.3648E+00  3.2469E-04  6.7482E-03 -5.7668E-04  8.9405E-05  2.3674E-05
  1.4767E+02  5.4486E+00  5.4550E+00  5.0574E+00  4.7826E+00  4.1046E+00  3.3977E-04  6.8333E-03 -5.7782E-04  9.2439E-05  2.5692E-05
  1.8617E+02  6.5093E+00  6.5158E+00  6.1199E+00  5.8408E+00  5.1566E+00  3.5914E-04  6.9411E-03 -5.7936E-04  9.6136E-05  2.8113E-05
  2.2651E+02  7.6263E+00  7.6329E+00  7.2385E+00  6.9554E+00  6.2657E+00  3.7761E-04  7.0422E-03 -5.8089E-04  9.9473E-05  3.0259E-05
  2.6812E+02  8.7849E+00  8.7916E+00  8.3986E+00  8.1120E+00  7.4172E+00  3.9516E-04  7.1369E-03 -5.8239E-04  1.0249E-04  3.2166E-05
  3.1350E+02  1.0056E+01  1.0063E+01  9.6716E+00  9.3815E+00  8.6820E+00  4.1294E-04  7.2316E-03 -5.8396E-04  1.0539E-04  3.3978E-05
  3.6168E+02  1.1415E+01  1.1422E+01  1.1032E+01  1.0738E+01  1.0034E+01  4.3061E-04  7.3241E-03 -5.8554E-04  1.0815E-04  3.5670E-05
  4.1093E+02  1.2814E+01  1.2821E+01  1.2432E+01  1.2135E+01  1.1427E+01  4.4758E-04  7.4118E-03 -5.8708E-04  1.1068E-04  3.7200E-05
